Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Collection,Status
datejust-28,Datejust - 28,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-28,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2297.jpg,Datejust - 28 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 28 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 28 - Image 3,,
datejust-29,Datejust - 29,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-29,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_3746.jpg,Datejust - 29 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 29 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 29 - Image 3,,
datejust-30,Datejust - 30,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-30,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_3747.jpg,Datejust - 30 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 30 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 30 - Image 3,,
datejust-31,Datejust - 31,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-31,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2302.jpg,Datejust - 31 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 31 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 31 - Image 3,,
